Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2019,Ashlie Bagwell,"Loving Care, LLC",Harris Jones & Malone,,FY20 Montgomery County Budget; Minimum Wage Legislation,9000.00,9000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2257,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2257
2024,Sarah Reddinger,"Habitat for Humanity Metro Maryland, Inc.","Habitat for Humanity Metro Maryland, Inc.","Jeffrey Dee, Tim Warner, Ronald Spoor",Affordable housing,2162.00,2470.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2885,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2885
2020,"Robert G. Brewer, Jr.","Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chtd.",,"Regulatory activities affecting Shady Grove Life Sciences Center, Washington Adventist Hospital campus in White Oak, Maryland, Eastern Montgomery County Master Plan, and Great Seneca Science Corridor Master Plan.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2321,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2321
2022,Steven Silverman,"Montgomery Mall Owner,LLC","SSGOVRELATIONS,LLC",,Real estate matters,18000.00,24000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2614,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2614
2014,G. Macy Nelson,Local 400,Law Office of G. Macy Nelson,,Land use issues,3000.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=223,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=223
2021,Barbara A. Sears,1788 Holdings,Miles & Stockbridge P.C.,Phillip A. Hummel,Bethesda Property - Magruder House,0.00,6761.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2557,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2557
2014,Emily J. Vaias,Douglas Development Corporation,Linowes and Blocher LLP,Samanth L. Mazo,Bethesda Master Plan,6743.00,6940.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=284,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=284
2025,Stuart Berlow,American Heart Association,American Heart Association,,cardiovascular health,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3034,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3034
2020,Steven Silverman,"CCACC,INC",SSGOVRELATIONS LLC,,Budget issues,12500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2359,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2359
2018,Clive Mackenzie,"Westfield, LLC","Westfield, LLC",James Agliata,"Wheaton mall development projects.,Montgomery mall development projects.",0.00,2625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1051,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1051
2014,Patrick L. O'Neil,"ByteGrid Silver Spring, LLC","Lerch, Early & Brewer, Chtd.",,Address competitiveness barriers for data centers.,2646.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=236,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=236
2024,Jonathan M. Genn,Global LifeSci Development Corporation,Jonathan M. Genn,,"Governmental Relations activities relating to land entitlement process and development of a biomedical/biotech centric community in White Oak, Maryland, commonly referred to as ""VIVA White Oak(tm).""",5000.00,12284.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2924,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2924
2015,William Kominers,"QIAGEN, Inc.","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",2500.00,2477.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=482,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=482
2020,Camille Fesche,Bernstein Litowitz Berger & Grossmann LLP,Rifkin Weiner Livingston LLC,,Facilitating and assisting with the pursuit of opportunities to provide representation to pension funds/boards in specific county jurisdictions as assigned by the client.,6125.00,6000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2346,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2346
2024,Heather Dlhopolsky,"Montgomery Soccer, Inc.",Wire Gill LLP,,5011 Olney Laytonsville Road,945.00,540.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3000,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3000
2018,William Kominers,Fivesquares Development LLC,"Lerch, Early & Brewer, Chtd.",,"Land  Use, Zoning and Real Estate matters including Bill 34-17, Bill 38-17 and ZTA No. 18-06.",0.00,1690.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2130,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2130
2019,C. Robert Dalrymple,Halpine Park LLC,Linowes and Blocher LLP,Matthew M. Gordon,Veirs Mill Corridor Master Plan,30843.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2250,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2250
2025,"Nancy P. Regelin, Esq.",First Development Corporation,"Shulman Rogers, P.A.",Samuel M. Spiritos,"MD Rt 182/Layhill Road access and alignment issues.  Glenmont Enterprise zone renewal or replacement state and local tax incentives and development incentive district.  Glenmont infrastructure capital improvement funding, affordable housing funding, land acquisition, related development.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3068,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3068
2019,Gil Genn,Brooke Manor Homeowners Association,Bellamy Genn Group,,"Cell Tower Location, Transportation issues, matters affecting the Brooke Manor HOA.",12000.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2265,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2265
2018,Barbara Zektick,Distilled Spirits Council of the US,"Alexander & Cleaver, P.A.",,Any and all matters and legislation pertaining to the sale and distribution of beverage alcohol.,0.00,125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2145,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2145
2016,Ashlie Bagwell,Restaurant Association of Maryland,Harris Jones & Malone,,Any and all matters relating to minimum wage,0.00,35500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=719,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=719
2013,Steven A. Robins,Potomac Holdings LLC,"Lerch, Early & Brewer, Chtd.",,Clarksburg Ten Mile Creek Master Plan Amendment.,0.00,2167.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=163,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=163
2022,Ashlie Bagwell,"Swimply, Inc.","Harris Jones & Malone, LLC",,Any and all matters as it pertains to business regulations for the pool rental marketplace.,17500.00,21000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2686,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2686
2022,William Kominers,Housing Opportunities Commission of Montgomery Cou,"Lerch, Early & Brewer, Chtd.",Christopher M. Ruhlen,"Zoning, master plans, and general land use matters.",1554.00,3180.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2634,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2634
2020,Steven Silverman,"Davis Bros. MONTGOMERY Farm,LP",SSGOVRELATIONS LLC,,Real estate matters,6247.00,3125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2360,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2360
2015,Michael J. Goecke,Costco Wholesale Corporation,"Lerch, Early & Brewer, Chtd.",,"Zoning Text Amendment (ZTA) 15-07, zoning, master plans, and general land use matters.",2528.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=468,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=468
2015,Ashlie Bagwell,Verizon Communications,Harris Jones & Malone,,Any and all matters related to the telecommunications industry,5000.00,5000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=404,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=404
2024,Roger Manno,Montgomery County Fraternal Order of Police Lodge,Manno & Associates LLC,,"Matters generally relating to collective bargaining and contracts, including benefits, training, protocols, etc.",0.00,15125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2916,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2916
2018,"Robert G. Brewer, Jr.",Ourisman Automotive,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters related to the Bethesda Downtown Plan,Mandatory referral, franchise agreements, other public processes relating to the Capital Crescent Trail and Montgomery County�s actions related to building expansion at Ourisman Honda on Bethesda Avenue.",7891.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1047,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1047
2022,Jena Collins,Apple Inc.,Apple Inc.,,Matters pertaining to technology,847.00,123.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2594,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2594
2020,Jane Lyons,Coalition for Smarter Growth,Coalition for Smarter Growth,,"Thrive 2050,Growth and Infrastructure Policy,Transportation, including bus lanes and I-495/I-270 managed lanes project,Housing and land use, including Bill 29-20",605.00,691.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2549,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2549
2015,Robert R. Harris,"Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chtd.",,Land use approvals,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=419,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=419
2018,Chris Gillis,Montgomery Housing Partnership,Montgomery Housing Partnership,Robert Goldman,"General lobbying around funding for affordable housing. Additional lobbying around specific bills, as they are introduced, and sector plans that impact affordable housing. Additional lobbying may be undertaken for out-of-school program support.",0.00,20063.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2220,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2220
2017,Emily J. Vaias,Nimita Shah / Toll Brothers City Living,Ballard Spahr LLP,,Bethesda Sector Plan development,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=890,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=890
2014,"Devin J. Doolan, Esq.",Veolia Transportation,"Furey, Doolan & Abell, LLP",,Meet with County Officials concerning the employers position on transportation issues including taxi service and permitting issues,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=166,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=166
2014,Steven A. Robins,"Layhill Investment Associates, LLC c/o Pete Jervy","Lerch, Early & Brewer, Chtd.",,Legislation involving Real Property Transfer Tax � Exemption  - Enterprise zones and other related legislative matters.,0.00,8665.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=272,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=272
2017,Barbara A. Sears,"PERCONTEE, INC.",Linowes and Blocher LLP,Scott C. Wallace,Viva White Oak,10165.00,2080.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=925,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=925
2022,William Kominers,"King George, LLC","Lerch, Early & Brewer, Chtd.",,Silver Spring Downtown and Adjacent Communities Plan,10460.00,1517.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2696,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2696
2015,Owen Jennings Caine,Consumer Specialty Products Association,Consumer Specialty Products Association,,Bill 52-14,47153.00,86074.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=374,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=374
2024,Chad Reese,Institute for Justice,Institute for Justice,,"working in support of business licensing,working in support of regulation reform",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2982,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2982
2017,Steven A. Silverman,"TOWER CONSTRUCTION GROUP, LLC","SSGOVRELATIONS, LLC",,Real estate matters,3125.00,3750.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=874,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=874
2014,Jonathan Sachs,Adventist HealthCare,Adventist HealthCare,,Various matters affecting health care in Montgomery County and Adventist HealthCare,409.00,592.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=193,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=193
